Country,FechasF,AD,Years,Months,Days
Madagascar,1960-06-26,2022-05-03,61,742,22591
Malawi,1964-07-06,2022-05-03,57,693,21120
Malaysia,1957-08-31,2022-05-03,64,776,23621
Maldives,1965-07-26,2022-05-03,56,681,20735
Mali,1960-09-22,2022-05-03,61,739,22503
Malta,1964-09-21,2022-05-03,57,691,21043
Marshall Islands,1979-05-01,2022-05-03,43,516,15708
Mauritania,1960-11-28,2022-05-03,61,737,22436
Mauritius,1968-03-12,2022-05-03,54,649,19775
Mexico,1810-09-16,2022-05-03,211,2539,77296
Micronesia,1986-11-03,2022-05-03,35,426,12965
Moldova,1991-08-27,2022-05-03,30,368,11207
Mongolia,1911-12-29,2022-05-03,110,1324,40303
Montenegro,2006-05-21,2022-05-03,15,191,5826
Morocco,1944-01-11,2022-05-03,78,939,28602
Morocco,1955-11-18,2022-05-03,66,797,24273
Mozambique,1975-06-25,2022-05-03,46,562,17114
Myanmar,1948-01-04,2022-05-03,74,891,27148
Namibia,1990-03-21,2022-05-03,32,385,11731
Nauru,1968-01-31,2022-05-03,54,651,19816
Netherlands,1581-07-26,2022-05-03,440,5289,160988
Nicaragua,1821-09-15,2022-05-03,200,2407,73279
Niger,1960-08-03,2022-05-03,61,741,22553
Nigeria,1960-10-01,2022-05-03,61,739,22494
North Macedonia,1991-09-08,2022-05-03,30,367,11195
Norway,1814-05-17,2022-05-03,207,2495,75957
Norway,1905-06-07,2022-05-03,116,1402,42699
Oman,1650-11-18,2022-05-03,371,4457,135671
Pakistan,1947-08-14,2022-05-03,74,896,27291
Palestine,1988-11-15,2022-05-03,33,401,12222
Panama,1821-11-28,2022-05-03,200,2405,73205
Panama,1903-11-03,2022-05-03,118,1422,43281
Papua New Guinea,1975-09-16,2022-05-03,46,559,17031
Paraguay,,2022-05-03,,,
Peru,1821-07-28,2022-05-03,200,2409,73328
Philippines,1898-06-12,2022-05-03,123,1486,45250
Philippines,1946-07-04,2022-05-03,75,909,27697
Poland,1918-11-11,2022-05-03,103,1241,37794
Portugal,1640-12-01,2022-05-03,381,4577,139310
Qatar,1878-12-18,2022-05-03,143,1720,52366
Qatar,1971-12-18,2022-05-03,50,604,18399
Queensland,1859-12-10,2022-05-03,162,1948,59314
Romania,1877-05-09,2022-05-03,144,1739,52954
Russia,1992-06-12,2022-05-03,29,358,10917
Rwanda,1962-07-01,2022-05-03,59,718,21856
Saint Kitts and Nevis,1983-09-19,2022-05-03,38,463,14106
Saint Lucia,1979-02-22,2022-05-03,43,518,15776
Saint Vincent and the Grenadines,1979-10-27,2022-05-03,42,510,15529
Samoa,1962-06-01,2022-05-03,59,719,21886
São Tomé and Príncipe,1975-07-12,2022-05-03,46,561,17097
Saudi Arabia,1932-09-23,2022-05-03,89,1075,32729
Senegal,1960-04-04,2022-05-03,62,744,22674
Serbia,1804-02-15,2022-05-03,218,2618,79701
Seychelles,1976-06-29,2022-05-03,45,550,16744
Sierra Leone,1961-04-27,2022-05-03,61,732,22286
Singapore,1965-08-09,2022-05-03,56,680,20721
Slovakia,1992-07-17,2022-05-03,29,357,10882
Slovenia,,2022-05-03,,,
Solomon Islands,1978-07-07,2022-05-03,43,525,16006
Somalia,1960-07-01,2022-05-03,61,742,22586
Somaliland,1991-05-18,2022-05-03,30,371,11308
